Type,Notes,Distance (miles) From Start
Start,Start: Miccosukee Community Center,0
Left,Turn left onto Veterans Memorial Rd,0.09
Straight,Continue onto Metcalf Rd,6.46
Left,Turn left onto Metcalf Beachton Rd,8.89
Rest Stop,Rest Stop: Metcalf Community Park,9.1
Left,Turn left onto Metcalf Rd,9.21
Right,Turn right onto Magnolia Rd,14.01
Straight,Continue onto A Dean Perry Ln,16.82
Right,Turn right onto S Pinetree Blvd,17.14
Rest Stop,Rest Stop: Thomasville Fire Station #2,17.7
Left,Turn left onto A Dean Perry Ln,17.85
Straight,Continue onto Magnolia Rd,18.16
Left,Turn left onto Metcalf Rd,20.98
Rest Stop,Rest Stop: Metcalf Community Park,25.8
Straight,Continue onto Veterans Memorial Rd,28.2
Right,Turn Right on Mocasin Gap Road,34.5
Finish,Finish: Miccosukee Community Center,34.9
